ingredient_name,name_fr,category,country_code,fr_reference_price_eur_per_100g,price_per_100g,currency,package_size,package_unit,notes
Natural casings,Boyaux naturels,protein,GB,,,GBP,,,
Natural casings,Boyaux naturels,protein,US,,,USD,,,
Ndole leaves,Feuilles de ndolé,vegetable,CA,,,CAD,,,
Ndole leaves,Feuilles de ndolé,vegetable,GB,,,GBP,,,
Ndole leaves,Feuilles de ndolé,vegetable,US,,,USD,,,
Nutmeg,Noix de muscade,spice,CA,,,CAD,,,
Nutmeg,Noix de muscade,spice,GB,,,GBP,,,
Nutmeg,Noix de muscade,spice,US,,,USD,,,
Oil,Huile,frying_oil,CA,1.109,,CAD,,,
Oil,Huile,frying_oil,GB,1.109,,GBP,,,
Oil,Huile,frying_oil,US,1.109,,USD,,,
Olive oil,Huile d'olive,fat,CA,1.109,,CAD,,,
Olive oil,Huile d'olive,fat,GB,1.109,,GBP,,,
Olive oil,Huile d'olive,fat,US,1.109,,USD,,,
Onion,Oignon,vegetable,CA,1.130,,CAD,,,
Onion,Oignon,vegetable,GB,1.130,,GBP,,,
Onion,Oignon,vegetable,US,1.130,,USD,,,
Palm fruit,Graine de palme,nut,CA,0.694,,CAD,,,
Palm fruit,Graine de palme,nut,GB,0.694,,GBP,,,
Palm fruit,Graine de palme,nut,US,0.694,,USD,,,
Palm nuts,Noix de palme,nut,CA,,,CAD,,,
Palm nuts,Noix de palme,nut,GB,,,GBP,,,
Palm nuts,Noix de palme,nut,US,,,USD,,,
Palm oil,Huile de palme,fat,CA,0.561,,CAD,,,
Palm oil,Huile de palme,fat,GB,0.561,,GBP,,,
Palm oil,Huile de palme,fat,US,0.561,,USD,,,
Paprika,Paprika,spice,CA,5.625,,CAD,,,
Paprika,Paprika,spice,GB,5.625,,GBP,,,
Paprika,Paprika,spice,US,5.625,,USD,,,
Parsley,Persil,herb,CA,,,CAD,,,
Parsley,Persil,herb,GB,,,GBP,,,
Parsley,Persil,herb,US,,,USD,,,
Pasta,Pâtes,starch,CA,0.150,,CAD,,,
Pasta,Pâtes,starch,GB,0.150,,GBP,,,
Pasta,Pâtes,starch,US,0.150,,USD,,,
Peanut butter,Pâte d'arachide,nut,CA,1.995,,CAD,,,
Peanut butter,Pâte d'arachide,nut,GB,1.995,,GBP,,,
Peanut butter,Pâte d'arachide,nut,US,1.995,,USD,,,
Peanut oil,Huile d'arachide,fat,CA,0.355,,CAD,,,
Peanut oil,Huile d'arachide,fat,GB,0.355,,GBP,,,
Peanut oil,Huile d'arachide,fat,US,0.355,,USD,,,
Pepper,Poivre,spice,CA,2.357,,CAD,,,
Pepper,Poivre,spice,GB,2.357,,GBP,,,
Pepper,Poivre,spice,US,2.357,,USD,,,
Pigs' feet,Pieds de porc,protein,CA,,,CAD,,,
Pigs' feet,Pieds de porc,protein,GB,,,GBP,,,
Pigs' feet,Pieds de porc,protein,US,,,USD,,,
Pilau spice mix,Épices pour Pilau,spice,CA,,,CAD,,,
Pilau spice mix,Épices pour Pilau,spice,GB,,,GBP,,,
Pilau spice mix,Épices pour Pilau,spice,US,,,USD,,,
Pklala leaves (Crincrin),Feuilles de pklala (crincrin),vegetable,CA,,,CAD,,,
Pklala leaves (Crincrin),Feuilles de pklala (crincrin),vegetable,GB,,,GBP,,,
Pklala leaves (Crincrin),Feuilles de pklala (crincrin),vegetable,US,,,USD,,,
Pork,Porc,protein,CA,0.599,,CAD,,,
Pork,Porc,protein,GB,0.599,,GBP,,,
Pork,Porc,protein,US,0.599,,USD,,,
Potato,Pomme de terre,vegetable,CA,0.066,,CAD,,,
Potato,Pomme de terre,vegetable,GB,0.066,,GBP,,,
Potato,Pomme de terre,vegetable,US,0.066,,USD,,,
Prunes,Pruneaux,fruit,CA,,,CAD,,,
Prunes,Pruneaux,fruit,GB,,,GBP,,,
Prunes,Pruneaux,fruit,US,,,USD,,,
Pumpkin seeds (Egusi),Pistaches (graines de courge),nut,CA,,,CAD,,,
Pumpkin seeds (Egusi),Pistaches (graines de courge),nut,GB,,,GBP,,,
Pumpkin seeds (Egusi),Pistaches (graines de courge),nut,US,,,USD,,,
Ras el hanout,Ras el hanout,spice,CA,1.290,,CAD,,,
